Damage 2.0/Puncture Damage	穿刺伤害
Antimatter Drop	反物质释放
Sword and Shield	剑盾
Shielded	护盾
Synoid Gammacor	枢议咖玛腕甲枪
Coiling Viper	毒蛇螺旋
Sinister Reach	凶恶延伸
Braton	布莱顿
Mutalist Osprey	剧毒无人机
Iron Vault	神针腾跃
Snipetron	狙击特昂
Pack Leader	领袖
Dashwire Arrow	悬丝之箭
Orbiter Segments	轨道飞行器模块
Arcane Pulse	生机赋能
Shimmering Blight	飞光荒疫
Ceres	谷神星
Covert Lethality	致命匿杀
Lanka	兰卡
Deconstructor	分离
Partner	伙伴
Grattler	格拉特勒
Winter Bundle	冬日组合包
Comet Rounds	彗星弹头
Rakta Ballistica	绯红布里斯提卡
Tactical Recall Bonus Weekend	战术警报重现奖励周末
Synoid Heliocor	枢议赫利俄光锤
Spectral Scream	光暴怒吼
Equipment	配备
Dex Furis	Dex盗贼双枪
Bleed	出血
Rathbone	拉斯波恩
Eximus	卓越者
Akmagnus	麦格努斯双枪
Blade of Truth	真相之刃
Electro Pulse	电光脉冲
Rifle Aptitude	步枪才能
Secura Lecta	保障勒克塔
Heavy Blade	巨刃
Jackal	豺狼
Affinity Booster	经验值加成
Orokin Derelict	被遗弃的Orokin船只
Dok Thul	行刑者Dok Thul
Rhino Stomp	犀牛践踏
Temporal Dreg	滞缓无人机
Volcanic Edge	爆裂刀刃
Telos Boltor	终极螺钉步枪
Kunai	苦无
Updates	更新
Fast Deflection (Kubrow)	快速充能
Helios Sentinel	赫利俄斯
Fire Rate	射速
Radial Blind	致盲
Damage 2.0/Corrosive Damage	腐蚀伤害
Organ Shatter	肢解
Imperator Vandal	破坏者凯旋将军
Equilibrium	均衡点
Ice Spring	冰冷跃动
Stabilizer	稳定
Prova Vandal	破坏者普罗沃
MK1-Furax	MK1-弗拉克斯
Team Heal	团队医疗
Team Shield Restore	团队护盾回复
Dark Sector Excavation	黑暗地带挖掘
Repelling Bastille	驱除力场
Sunlight Threshcone	日光去壳毬果
Standing	声望
Dual Ichor	恶脓双斧
Kubrow Cosmetics	库狛外观
Winds of Purity	纯净之风
Vor's Prize quest	Vor的战利品
Penumbra	半影屏蔽
Idle Animations	站姿
Multishot (Mechanic)	多重射击
Nami Solo	海波单剑
Momentary Pause	片刻喘息
Media	影音资料
Pilfering Swarm	贪夺触角
Boosters	加成物品
Ayatan Sculpture	Ayatan雕像
Surplus Diverters	残盾转换
Primed Morphic Transformer	非晶变压器Prime
Furax	弗拉克斯
Skana	空刃
Maximized Power Duration	能力持续时间最大化
Air Support Charge	空中支援呼叫器
Paris	帕里斯
Dual Kamas Prime	双短柄战镰Prime
Primed Fast Hands	爆发装填Prime
Critical Hit (Mechanic)	暴击
Prisma Yamako	棱晶山越披饰
Quanta Ranger	量子切割器突击队员
Shield Flux	护盾通量
Seeking Fire	导弹
Tesla	特斯拉手榴弹
Darek Draga	疏浚兵长
Deep Freeze	深层冷冻
Strun	斯特朗
Attica	阿提卡
Machete	马谢特砍刀
Hikou Prime	飞扬Prime
Gnashing Payara	狼鱼咬咬
Venka	凯旋之爪
Arrow Mutation	箭矢转换
Expel Grineer	驱逐Grineer
Warframe China	星际战甲
Roaring Drums	狂吼战拳
Guided Ordinance	指导条例
Operation Breeding Grounds	清巢行动
Fomorian Disruptor	巨人战舰干扰器
Cold Damage	冰冻伤害
Hall of Mirrors	镜厅
Sharpened Bullets	尖锐子弹
Gram	格拉姆
Power Throw	奋力一掷
Burning Wasp	炙热黄蜂
Phage	噬菌者
Detron	德特昂
Blink	闪瞬
Nok	行刑者Nok
Antimatter Absorb	反物质吸收
Anti MOA	逆进恐鸟
Fracturing Wind	破碎之风
Damage 2.0/Flesh	肉体
Augment	强化
Surging Dash	涌流突进
Afuris	盗贼双枪
Link Health	生命值连接
Drekar Seeker	龙舰追踪者
Adarza Kavat	镜像型库娃
Sonicor	超音波冲击枪
Lantern	幻灯
Trading Post	交易站
Primary Weapons	主武器
Orbital Strike Drone	卫星冲击无人机
Sol	太阳系
Shield Polarize	护盾极化
Rending Strike	撕裂打击
Mobilize	全面驱动
Machete Wraith	亡魂马谢特砍刀
Sigils	纹章
Nauseous Crawler	呕心爬行者
Mara Detron	苦痛德特昂
Pressure Point	压迫点
Elite Crewman	精英船员
Shotgun Ammo Mutation	霰弹枪弹药转换
Butcher	屠夫
Sicarus	暗杀者
Enduring Strike	不朽打击
Handspring	翻筋斗
Nightmare Mode	噩梦模式
Drekar Hellion	龙舰恶徒
Sanctuary (Cephalon Simaris)	圣殿
Hobbled Key	蹒跚龙钥
Maximum Capacity	极限弹容
Renewal	疗愈脉动
Cestra	锡斯特
Slash Damage Weapons	切割伤害武器
Impaler Munitions	穿刺弹药
Sharpened Claws	磨锋之爪
Recoil	后坐力
Removed	已绝版
Berserker	狂战士
Hushed Invisibility	静谧无踪
A Favor For Darvo	协助Darvo
Med Tower	治愈之塔
Life Strike	生命打击
Heads-Up Display	游戏界面
Resistance Mods	抗性MOD
Simulor	重力奇点拟成枪
Staticor	静电能量导引枪
Syndicate Operatives	集团特工
Hek	海克
Kubrow Den	库狛兽穴
Rubedo	红化结晶
Speed Trigger	灵敏扳机
Void Relic	虚空遗物
Prisma Skana	棱晶空刃
Paris Prime	帕里斯Prime
Seeker	追踪者
Firestorm	烈焰风暴
Resource Cache	资源匣
Research lab	研究实验室
Quick Rest	快速回复
Garesh	行刑者Garesh
Raptor	猛禽
Worm Hole	虫洞
Pistol Gambit	手枪精通
Electricity Damage	电击伤害
Irradiating Disarm	辐射缴械
Nav Segment	导航模块
Vaykor Sydon	勇气恶龙
Ankyros Prime	甲龙双拳Prime
Through Strike	穿龙破
Burston Prime	伯斯顿Prime
Neo	中纪
Dual Decurion	什长双枪
Blast Damage	爆炸伤害
Shaku	双节尺棍
Corpus Ship (Archwing)	Corpus飞船（Archwing）
Drekar Manic	龙舰狂躁者
Heat Generator	热能产生器
Juggernaut	巨兽
Enhanced Durability	耐久强化
Sabotage	破坏
Repel	脉冲震波
Scorch	怒焚者
High Roller Credit Bundle	一掷千金套组
Violence	暴力
Orthos Prime	欧特鲁斯Prime
Wild	野生
Provoked	激怒
Railgun MOA	磁轨炮恐鸟
Death	死亡
Arcane Machine	法典仪器
Kavat	库娃
Pyrotechnic Ogris	烈焰欧格里斯
Sunika Kubrow	猎杀型库狛
Pointed Wind	尖锐之风
Comba	驱逐员
Twitch	迅速抽换
Heliocor	赫利俄光锤
Closed Beta	内测
Damage 2.0/Infested Flesh	感染肉体
Grim Fury	冷面狂怒
Silent	静音
Antitoxins	解毒剂
Hawk Eye	隼目
Shield Transference	护盾转移
Mastery Rank	段位
Dual Ether	苍穹双剑
Dig	挖掘
Dual Heat Swords	烈焰双剑
Twin Grakatas	双子葛拉卡达
Scavenge	搜集
Blueprint	蓝图
Vectis Prime	守望者Prime
MK1-Kunai	MK1-苦无
Carrier (Enemy)	母舰
Power Mods and Abilities	能力MOD与技能
Landslide	土石塌方
Continuity	持久力
Energy Amplifier	能量扩散
Alerts	警报
Martial Magnetism	心眼
Hold	按住
Blocking	格挡
Vermillion Storm	朱红风暴
Ranger	突击队员
Crowd Dispersion	人群驱散
Cold	冰冻
Abra Paris Skin	帕里斯腐蚀外观
Weapons Mastery Rank	武器段位限制
A Man of Few Words	沉默寡言的男人
Wyrm Prime	蛟龙Prime
Mutalist	异融
Devour	沙涡之祭
Combustion Beam	灼热光束
Assassination	刺杀
Sparring	搏击
Laser Barrier	激光栅栏
PvP	玩家间对抗
Capture	捕获
Despair	绝望
Proc	异常状态
Overextended	过度延展
Reth	行刑者Reth
Cernos	西诺斯
Formorian	巨人战舰
Faction Damage Mods	派系伤害MOD
Cephalon Suda	中枢苏达
Redeemer	救赎者
Venom	猛毒
Arcane Enhancement	赋能
Redirection	蓄能重划
Fire Blast	火焰冲击
Attributes	属性
Crossing Snakes	双蛇牙突
Flux Rifle	通量射线步枪
Hybrid Weapons	合成武器
Vortex	漩涡
Deth Machine Rifle	死亡机枪
Characters	角色
Blade Storm	剑刃风暴
Infested Ship (Archwing)	Infested飞船（Archwing）
Cat's Eye	猫眼
Power Drift	力量窜升
Power Efficiency	能力效率
Prisma Daedalus Chest Plate	棱晶代达罗斯胸甲
Zanuka Hunter	Zanuka猎犬
Hydraulic Chamber	液压枪膛
Primed Target Cracker	弱点专精Prime
Bullet Attractor	子弹磁石
Ceramic Dagger	陶瓷匕首
Torid	托里德
Lynx	山猫
Lancer Dreg	无人机枪兵
Extinguished Key	熄灭龙钥
Baro Ki'Teer Offering	Baro Ki'Teer商品
Medium Team Energy Restore	中型团队能量回复
Vengeful Rush	复仇冲动
Jat Kittag	喷射战锤
Syndicate Medallions	集团勋章
Bane of Grineer	灭亡Grineer
Fire Walker	风火飞轮
Pickup	可拾取物
Arena	竞技场
Prisma Burst Laser	棱晶激光点发
WARFRAME (China)	星际战甲
Animal Instinct	动物本能
Loaded Capacity	加载弹容
Nightwatch Lancers	夜巡者枪兵
Nightwatch Napalm	夜巡燃烧弹
Comparisons	比较
Grineer Settlement	Grineer营地
Scrambus	扰敌员
Corrupted Ancient	远古堕落者
Dead Eye	死亡之眼
Elite Arid Lancer	精英沙漠枪兵
Drekar Scorpion	龙舰天蝎
Viral	病毒
Synapse	突触生化枪
Jagged Edge	锯刃
Stamina Mods	耐力MOD
Shell Compression	压缩弹壳
Components	零件
Corrupted Lancer	堕落枪兵
Braton Prime	布莱顿Prime
Leech Osprey	吸血鱼鹰
Corrosive Damage	腐蚀伤害
Drakgoon	龙骑兵
Incubator Upgrade Segment	孵化器升级模块
Archwing Melee	Archwing近战
Enemy Weapon	敌人武器
Dragon Key	龙钥
Augmented Mods	强化MOD
Sortie Reward	突击奖励
Duality	二元性状
Heavy Impact	震地冲击
Primed Fury	狂暴Prime
Stormbringer	暴风使者
Males	女性
Well Of Life	生命之井
Females	女性
Omega Isotopes	奥米伽同位素
Navbox	导航模板
Plants	植物
Extend	延展
Seismic Shockwave	地震波
Knux	克那克斯
Primed Bane of Infested	灭亡Infested Prime
Bane of Infested	灭亡Infested
Kavat Mods	库娃MOD
Zura	行刑者Zura
Rare Mods	稀有MOD
Penjaga Mods	Penjaga极性MOD
The Second Dream	第二场梦
Uncommon Mods	罕见MOD
Kavat Cosmetics	库娃外观
Speculation	推测
Fast Hands	爆发装填
Twin Grakata	双子葛拉卡达
Fossilized	化石
Clip Size Mods	弹匣容量MOD
Void Key	虚空钥匙
Ammo Mutation Mods	弹药转换MOD
Melee Mods	近战MOD
Flameblade	烈焰刀客
Pistol Mods	手枪MOD
Naramon Mods	Naramon极性MOD
Warframe Mods	战甲MOD
Fluctus	巨浪
Faction	派系
Moonlight Jadeleaf	月光玉叶
Corrupted Nullifier	堕落虚能者
Stance Mods	架式MOD
Tonfa	旋棍
Gunblade	枪刃
Sword	剑
Antitoxin (Gear)	解毒剂
Fan	风扇
Arid Eviscerator	沙漠开膛者
Glaxion	冷冻光束步枪
Alert	警报
Prowl	潜影猎手
Kubrow Egg	库狛蛋
Chemical Lab	化学实验室
Fist	拳套
Hammer	锤
Quick Thinking	随机应变
Dual Daggers	双匕首
Powerfist	重击手
Azima	刺茉莉
Polearm	长柄武器
Sancti Tigris	圣洁猛虎
Tidal Surge	潮汐浪涌
The Gradivus Dilemma	荧惑
Warframe Attributes	战甲属性
Lasting Sting	未完之刺
Community Concept	玩家创意
Gorgon Wraith	亡魂蛇发女妖
Point Strike	致命一击
Thrown	投掷类武器
Single Sidearm	单持副武器
Fatal Attraction	致命诱惑
Dual Sidearms	双持副武器
Laser Sight	雷射瞄具
Secondary Weapons	副武器
Warframe China Timed Exclusive	星际战甲限时专享
Magnetic Damage	磁力伤害
Launchers	发射器
Shotgun	霰弹枪
Arsenal	军械库
Kavat Genetic Code	库娃遗传密码
Syndicate Offerings	集团商品
Cleanse Grineer	净化Grineer
Damage 2.0/Robotic	机器
Impact Damage Weapons	冲击伤害武器
Tactical Alert Reward	战术警报奖励
Titan Extractor Prime	泰坦采集者Prime
Loki Knave Skin	Loki无赖外观
Stradavar	斯特拉迪瓦
Semi-Automatic	半自动
Ignis	伊格尼斯
Puncture Damage Weapons	穿刺伤害武器
Superchargers	极限突破装置
Blunderbuss	雷筒
Bow	弓
Dual Swords	双剑
Damage 2.0/Infested Sinew	感染肌腱
Environmental Hazards	危机
Ravage	破灭
Archwing Gun	Archwing枪械
Notes	附注
Note	附注
Deceptive Bond	虚伪连接
Sources	引用
References	引用
Power Strength	能力强度
See also	另见
Behavior	行动模式
Tips	提示
Solar Rail Conflict	黑暗地带冲突
Acquisition	入手方法
Gallery	相关图片
Ice Storm	冰风暴
factions	派系
Mechanics	游戏机制
Fieldron	电磁力场装置
Nikana	侍刃
Color Pack Beta	颜料包B
Trivia	小常识
Wraith Twin Vipers	亡魂双子蝰蛇
Override	覆写
Damage 2.0/Gas Damage	毒气伤害
Scanner	扫描
Sudden Impact	瞬间冲击
Drekar Elite Lancer	龙舰精英枪兵
Corpus Target	Corpus目标
Loot Detector	战利品探测器
Mercury	水星
Damage 2.0/Blast Damage	爆炸伤害
Survival	生存
Osprey	鱼鹰
Defense	防御
Damage 2.0/Fire Damage	火焰伤害
Eris	阋神星
Isolator Bursa	隔离金流恐鸟
Fire Blast (Ruk)	火焰冲击（Ruk）
Atlantis Vulcan	深渊之火
Damage 2.0/Cold Damage	冰冻伤害
Morphics	非晶态合金
Damage 2.0/Slash Damage	切割伤害
Damage 2.0/Shield	护盾
Frontier Butcher	前线屠夫
Retribution	惩戒
Magnetic	磁力
Specter Regiment	魅影军团
Factions	派系
Ferocity	凶恶终结
Lynx Osprey	山猫鱼鹰
Sequence Burn	延烧数列
Hijack	劫持
Damage 2.0/Magnetic Damage	磁力伤害
Suppress	消音
Damage 2.0/Machinery	机械
Channeled Abilities	持续消耗型技能
Damage 2.0/Infested	感染
Damage 2.0/Fossilized	化石
Narrow Minded	心智偏狭
Tactical Alert	战术警报
Vulkar Wraith	亡魂金工火神
Quick Return	快速收回
Damage 2.0/Cloned Flesh	复制肉体
Damage 2.0/Alloy Armor	合金装甲
Lie In Wait	埋伏射击
Aim	瞄准
Wrecking Rhino Pack	破碎Rhino包
Dera Vandal	破坏者德拉
Toxin Damage	毒素伤害
Frugal Credit Bundle	节约套组
Cephalon Simaris	中枢Simaris
Specters of the Rail	航道幽影
Update 16	更新16
Update 15	更新15
Update 13	更新13
Maglev	磁浮
Update 10	更新10
Nav Coordinates	Nav座标
Damage 2.0	伤害
Gift Of The Lotus	Lotus的赏赐
Mars	火星
Eroding Blight	侵蚀毁坏
Meso Era	前世纪
Conclave	武形秘仪
Operation Tubemen of Regor	Regor的实验体
North Wind	北风
Ether Daggers	苍穹匕首
Dex Dakra	Dex达克拉双剑
Dark Sword	暗黑长剑
The Hunt For Alad V	追击Alad V
Rapier	细剑
Survival Weekend Event	生存（活动）
Datamass	数据块
Specters Of Liberty	魅影自由之战
Damage 2.0/Proto Shield	原型护盾
Operation: Mutalist Incursions	异融者入侵
Elemental Damage	元素伤害
Grineer Target	Grineer目标
Fusion Moa Event	熔岩恐鸟活动
Avalanche Offensive	雪崩进攻
Prime Eos Spurs	曙光女神马刺Prime
General Sargas Ruk	Sargas Ruk将军
Attack Speed	攻击速度
Operation: Shadow Debt	影子之债
Pistol Scavenger	手枪弹药搜集者
Operation Eyes of Blight	毁灭之眼
Sands of Inaros	Inaros之沙
Four Riders	天启异象
Wallrun	墙跑时
World On Fire	火海
Vital Sense	弱点感应
Pause	暂停
Move	招式
Launching Spring	升龙拳
Scorch (Mod)	灼痕焦点
Pistol Ammo Box	弹药箱
Button Combination	按键组合
Stretch	延伸
Ogris	食人女魔
Steel Meridian	钢铁防线
Broad Eye	广域之视
Fomorian Accelerant	巨人促进剂
Tempered Blade	强化刀片
Red Veil	血色面纱
New Loka	新世间
Oxium	奥席金属
Specter (Enemy)	魅影（敌方）
Justice	正义
Gun Glide	恒稳枪杆
Arbiters of Hexis	均衡仲裁者
Accelerant	助燃
Teleport	瞬移
Drone Guardian	无人机守卫
Mod Pack	MOD包
Agility Drift	矫捷窜升
Kavat Starter Kit	库娃初心者套装
Ictus Attachments	扬音守护配件
MOA	恐鸟
Pistol_Ammo_Box	弹药箱
Lith	古纪
Incubator	孵化器
Incubator Power Core	孵化器能量核心
Arcane Avenger	复仇者赋能
Glaive Prime	战刃Prime
Day of the Dead Dark Sword Skin	暗影长剑亡灵节外观
Cronus	克洛诺斯
Prisma Daedalus Shoulder Guard	棱晶代达罗斯护肩
Furax Wraith	亡魂弗拉克斯
Semi-Auto	半自动
Onorix	奥努里克斯
Zebra Paracyst	附肢寄生者斑纹外观
Void Keys	虚空钥匙
Toxic Crawler	剧毒爬行者
Vespa Nyx Helmet	黄蜂Nyx头盔
Thrak Rhino Helmet	Rhino震击头盔
Vanguard Rhino Helmet	Rhino先锋头盔
Titan Extractor	泰坦采集者
Team Heal Restore	团队医疗回复
Angst	焦虑
Overshields	过载护盾
Stun Baton	电击棒
Storm Volt Helmet	风暴Volt头盔
Stealth Pack	隐秘潜入包
Weapons	武器
The Jordas Verdict	Jordas的审判
Small Health Restore	小型医疗回复
Hornet Strike	黄蜂蜇刺
Reverb Banshee Helmet	返响Banshee头盔
Resource Booster	资源数量加成
Prisma Arrows	棱晶箭
Orokin Moon/Endurance Test	坚忍考验
Pahta	飞翔
Ether Reaper	苍穹死神
Rejuvenation	返老还童
Quiver	战术箭袋
Orokin Reactor	Orokin反应堆
Omni Ammo Box	综合弹药箱
Nightwatch Camouflage	夜巡者伪装迷彩
Nexus Fur Pattern	纳瑟斯皮毛花纹
Mutalist Cernos	异融西诺斯
Sundering Strike	破甲
Elite Lancer	精英枪兵
Clan	氏族
Large Team Shield Restore	大型团队护盾回复
Kinetic Siphon Trap	动能吸收陷阱
Grakata	葛拉卡达
Brokk	布洛克战锤外观
Kara Valkyr Helmet	刑罚Valkyr头盔
Tempest Barrage	暴风雨弹幕
Health Restore	医疗回复
Moonlight Dragonlily	月光龙百合
Rifle Scavenger	步枪弹药搜集者
Grineer Desert Tactics Pack	Grineer突击组合包
Grand Finale	压轴好戏
Backdraft Ember Helmet	Ember复燃头盔
Locust Ash Helmet	Ash飞蝗头盔
Warframes	战甲
Orokin Moon/Cunning Test	狡诈考验
Lato Vandal	破坏者拉托
Essence Loki Helmet	本质Loki头盔
Bloomer	高爆弹
Channeling	导引
Mesa's Waltz	Mesa的华尔兹
Ferrite	铁氧体
Dual Zoren	佐伦双斧
DNA Stabilizer	DNA稳定剂套装
Distilling Extractor Prime	精粹采集者Prime
Distilling Extractor	精粹采集者
Frigid Blast	冰冷疾风
Dragon Keys	龙钥
Zenurik Mods	Zenurik极性MOD
Prism	棱镜
Dagger Axe (Zoren)	双短斧外观
Sanctuary (Mod)	守护光罩
Dagger Axe (Scindo)	短斧外观
Corpus Turret	炮塔
Coil Mag Helmet	线圈Mag头盔
Prod Crewman	监工船员
Clan Key	氏族钥匙
Booster	加成物品
Baro Ki'Teer Noggle	Baro Ki'Teer摇头娃娃
Antiserum Injector	抗血清注射器
Prisma Tetra	棱晶特拉
Orokin Drone	Orokin无人机
Aurora Frost Helmet	极光Frost头盔
Catalyzer Link	触媒连动
Air Support Charges	空中支援呼叫器
Adventus Arrow Collection	初来乍到箭矢组合包
Oberon Feyarch Skin	Oberon精灵之王外观
MK1-Braton	MK1-布莱顿
Saryn Orphid Skin	Saryn兰花外观
Nightfall Apothic	夜幕药剂
Nami Skyla	海波斯库拉对剑
Pistol Ammo Mutation	手枪弹药转换
Blunt	便携掩体
Power Carrier	能量运送者
Bright Purity	光明纯净
Rest & Rage	暂息-怒气
Shotgun Scavenger	霰弹枪弹药搜集者
Corpse	尸体
Castanas	雷爆信标
Locker	储存柜
Dark Sector Defense	黑暗地带防御
Arcane Strike	速攻赋能
Ballista	弩炮
Drahk Master	爪喀驯兽师
Double-Barrel Drift	游离双管
Aklex	雷克斯双枪
Polar Glaxion	极地外观
Extractor	采集者
Orokin Moon/Stealth Test	匿踪考验
Orokin Moon/Power Test	力量考验
Orokin Moon/Agility Test	矫捷考验
Synthesis	结合仪式
zipline	滑索
Sealab Sabotage	深海研究所破坏
The Limbo Theorem	Limbo定理
Squall Frost Helmet	飑风Frost头盔
Shooting Gallery	靶场
the Jordas Verdict	Jordas的审判
Team Annihilation	团队歼夺
Scindo	分裂斩斧
Damage 2.0/Radiation Damage	辐射伤害
Rush	冲刺
Moonlight Threshcone	月光去壳毬果
Recovery	重整态势
Patient Zero	零号病患
Operation: Gate Crash	摧毁传送门
Trench Run	战壕追逐
Missions	任务
Invasion	入侵
Vaykor Hek	勇气海克
Infested Impedance	感染者阻抗
Secondary Fire	次要开火模式
Mend & Maim	补愈-致残
Fomorian Sabotage	巨人战舰破坏
Hive Sabotage	清巢
Damage 2.0/Object	物件
Exterminate	歼灭
Aklato	拉托双枪
Archwing Weapons	Archwing武器
Tempo Royale	皇家节奏
Endless Defense	防御
Cloned Flesh	复制肉体
Deception	欺骗
Annihilation	歼夺
Chilling Grasp	急冻控场
Fleeting Expertise	弹指瞬技
Vestan Moss	灶神藓
Entropy Flight	飞逝熵数
Frostleaf	霜叶
Lunar Pitcher	月之猪笼草
Ruk's Claw	Ruk之爪
Corpus Power Carrier	Corpus能量运送者
Explosive Demise	爆散消亡
Dusklight Sarracenia	尘光瓶子草
Obex	奥比克斯
Amphis	双头蛇
Hellfire	地狱火
Madurai Mods	Madurai极性MOD
Sunlight Dragonlily	日光龙百合
Rescue 2.0	救援
Story and History	背景故事
Rare Resource Blueprint	稀有资源蓝图
Plastids	生物质
Total Eclipse	全蚀
Prize Kill	杀戳奖励
Neurodes	神经元
Primed Vigor	活力Prime
Update 9	更新9
Simulacrum	幻影装置
Buzlok	巴兹火枪
Nano Spores	纳米孢子
Gallium	镓
Eros Arrow Skin	爱神之箭外观
Fieldron Sample	电磁力场装置样本
Arid Heavy Gunner	沙漠重型机枪手
Fire Rate (Mechanic)	射速
Detonite Injector	爆燃喷射器
Lacera	悲痛之刃
Credit Cache	现金匣
Argon Crystal	氩结晶
Alloy Plate	合金板
Dakra	达克拉
Biological Lab	生物实验室
research lab	研究实验室
Prisma Shade	棱晶阴影
Wyrm Sentinel	蛟龙
Shade Sentinel	阴影
The Sergeant	海军陆战队中士
Drekar Trooper	龙舰骑兵
Dethcube Sentinel	死亡魔方
Smeeta Kavat	笑面型库娃
Ice Wave	冰浪
Sahasa Kubrow	突击型库狛
Star Chart	星图
Rotation	轮次
Hush	消音器
Phaedra	菲德菈
Vampire Leech	汲能榨取
Neo Era	中世纪
Undertow	水漩涡
Lith Era	古世纪
Axi	后纪
Void Traces	虚空光体
Denial Bursa	守护金流恐鸟
Fragments	碎片
Void Fissure	虚空裂缝
Rumbled	轰隆石者
Starchart	星图
Void Relics	虚空遗物
Reactor Sabotage	核心破坏
Sharpened Blade	锐利刀刃
Eject Magazine	弹匣置换
Stinging Truth	过激真相
Cosmic Crush	星体震荡
Syandana	披饰
Sniper Rifle	狙击枪
Derelict	遗迹
Wraith	亡魂
Truth	真相
Sensor Bar	感应条
Alternate Fire	次要开火模式
Zanuka Project	Zanuka计划
Assassin	刺客
Field Bosses	乱入头目
Finishing Damage	终结伤害
invasion	入侵
Prisma	棱晶
Cerebrum	头部
Bastille	力场牢狱
Experience Mechanics	经验机制
Companion	同伴
Sybaris	席芭莉丝
Blight	毁坏
Tainted Shell	污秽弹药
Tilesets	地图板块
Soma	月神
Burst Fire	连发点射
Zoom	瞄准
Toxic	毒素
Power Efficiency (Mechanic)	能力效率
Starburst	光芒四射
Weapon Augment Mods	武器强化MOD
Vengeful Revenant	复仇亡灵
Veritux	真理巨剑
Auto	自动
Bo Prime	玻之武杖Prime
Shockwave MOA	震荡恐鸟
Warframe Chassis Blueprint	战甲机体蓝图
Warframe Augment Mods	战甲强化MOD
Scythe	镰刀
Striker	前锋
Toxin	毒素
Supercharger	极限突破装置
Stamina	耐力
Special Weapons	特殊武器
Corrupted	堕落者
slide	滑行
Proto Shield	原型护盾
Crewmen	船员
Sigil	纹章
Shields	护盾
Lasting Purity	永恒纯净
Sentinel	守护
Prime Eos Shoulder Plate	曙光女神肩甲Prime
Sure Footed	顶天立地
Schema	架构
Penta	潘塔
Robotic	机器
Research/Tenno Lab Research Tab	Tenno实验室
Blueprints	蓝图
Quest	系列任务
Punch Through	穿透
Projectile Speed	弹体飞行速度
Prime Access	Prime特权
Power Range	能力范围
Power Duration	能力持续时间
Polarization	极化
Penta Ranger	潘塔突击队员
Slash	切割
Pressurized Magazine	增压弹匣
Sugatra	坠饰
Primed Pistol Mutation	手枪弹药转换Prime
Ninkondi	降灵追猎者
Overshield	过载护盾
Orokin Vault	Orokin宝库
objects	物件
Object	物件
Hollow Point	空尖弹
Mod	MOD
Maximized Power Efficiency	能力效率最大化
Maximized	最大化
Corrosive	腐蚀
Neptune	海王星
Sling-Stone Event	破坏巨人战舰
Login Rewards	登录奖励
Kogake	科加基
Hunt	狩猎
I. Flesh	感染肉体
Heat Sword	烈焰长剑
Infested Flesh	感染肉体
Breach Loader	破裂装填
Health	生命
Furis	盗贼
Flesh	肉体
Contagious Spread	传染蔓延
Insulation	隔热
Finisher	终结
Ferrite armor	铁质装甲
Energy Conversion	能量转换
Prisma Gorgon	棱晶蛇发女妖
Elemental Sandstorm	元素沙暴
Snipetron Vandal	破坏者狙击特昂
Suspicious Shipments	可疑的货物
Daily Tribute	每日献礼
Torment	折磨
Critical Hit	暴击
credits	现金
Credits	现金
Pull	吸引
Corrupted Mods	堕落MOD
Sweeper	扫除者
System Reroute	系统重划
Medium Team Ammo Restore	中型团队弹药回复
Challenge Reward	挑战奖励
Gorth	行刑者Gorth
Primed Ravage	破灭Prime
Boss	头目
Research	研究
Aura	光环
armour	护甲
Ammo	弹药
Alloy Armor	合金装甲
Solar Rails	星际航道
Dagger	匕首
Toxic Slash	剧毒鞭苔
Affinity	经验值
Pathogen Rounds	病原弹头
Creeping Bullseye	匍匐靶心
Accuracy	精准度
Arcane Eruption	爆发赋能
Entropy Burst	熵数爆发
Phoenix Renewal	凤凰新生
Toxic Sequence	毒素数列
Steady Hands	稳定枪手
Quickdraw	持续火力
Deadly Sequence	致命数列
Antimatter Mine	反物质地雷
Vacuum	吸取
Abilities	能力
Carpet Bomb	地毯式轰炸
Planets	星球
Pyrana	食人鱼
Benevolent Decoy	仁慈诱饵
Lingering Torment	恒久折磨
Primed Point Blank	抵近射击Prime
Orokin Moon/Collaboration Test	协力考验
Anticipation	冲击预感
Serrated Edges	锯齿边缘
Flak Shot	高射炮击
Crash Shot	溃散射击
Prosecutor	判官
Reflex Coil	增幅线圈
Low Current Leap	低能耗飞跃
Tempered Bound	调节跳跃
Soul Survivor	幸存生灵
Air Thrusters	空中推进
Narrow Barrel	狭窄枪膛
Collision Force	冲突武力
Reflect	反射（库娃）
Nano-Applicator	纳米涂覆
Runner	奔跑者
Weeping Wounds	创口溃烂
Hydraulic Crosshairs	液压准心
Coaction Drift	协力窜升
Speed Drift	速度窜升
Cunning Drift	狡诈窜升
Radial Javelin	标枪
Stealth Drift	匿踪窜升
Primed Rifle Mutation	步枪弹药转换Prime
Artificer	技工
Vitality (Sentinel)	生命力
Shadows Of The Dead	亡者幽影
Corvas	黑鸦
Vitality	生命力
Vile Acceleration	卑劣加速
Bronco	野马
Streamline	简化
Astral Twilight	星界微光
Vazarin Transmute Core	Vazarin转换核心
Axi Era	后世纪
True Steel	斩铁
Brutal Tide	残暴浪潮
True Punishment	真实惩罚
Decisive Judgement	果断裁决
Toxic Blight	毁坏毒素
Toxic Barrage	毒素弹幕
Pigment	颜料
Poisonous Sting	剧毒螯刺
Tracking Shot	标记射击
